TimeT,TimeS,Mx,My,Px,Py,Cx,Cy,Cio,CtimeT,CtimeS,Gx,Gy,Gnum,PMDist
00:00.0180,0.0177538,-7.982955,0.05681813,-8,0,0,0,None,00:00.0000,0,0,0,0,0.05931961
00:00.0180,0.0177538,-7.982955,0.05681813,-7.98466,0.05113631,0,0,None,00:00.0000,0,0,0,0,0.005932029
00:00.0400,0.0399652,-7.982955,0.05681813,-7.98466,0.05113631,0,0,None,00:00.0000,0,0,0,0,0.005932029
00:00.0510,0.0510996,-7.982955,0.05681813,-7.984134,0.05289099,0,0,None,00:00.0000,0,0,0,0,0.004100084
00:00.0650,0.0649539,-7.982955,0.05681813,-7.983132,0.05622866,0,0,None,00:00.0000,0,0,0,0,0.0006154377
00:00.0780,0.0780079,-7.982955,0.05681813,-7.983008,0.05664078,0,0,None,00:00.0000,0,0,0,0,0.000185076
00:00.0930,0.093441,-7.982955,0.05681813,-7.982968,0.05677673,0,0,None,00:00.0000,0,0,0,0,4.321211E-05
00:00.1070,0.1066077,-7.982955,0.05681813,-7.982959,0.05680344,0,0,None,00:00.0000,0,0,0,0,1.517968E-05
00:00.1230,0.1225711,-7.982955,0.05681813,-7.982957,0.05681348,0,0,None,00:00.0000,0,0,0,0,4.860704E-06
00:00.1370,0.1373479,-7.982955,0.05681813,-7.982955,0.05681737,0,0,None,00:00.0000,0,0,0,0,7.599592E-07
00:00.1560,0.1564896,-7.982955,0.05681813,-7.982955,0.05681786,0,0,None,00:00.0000,0,0,0,0,2.682209E-07
00:00.1680,0.1682346,-7.982955,0.05681813,-7.982955,0.05681806,0,0,None,00:00.0000,0,0,0,0,6.705523E-08
00:00.1820,0.1822716,-7.982955,0.05681813,-7.982955,0.0568181,0,0,None,00:00.0000,0,0,0,0,2.980232E-08
00:00.1970,0.1966209,-7.982955,0.05681813,-7.982956,0.05681812,0,0,None,00:00.0000,0,0,0,0,4.769681E-07
00:00.2110,0.2109004,-7.982955,0.05681813,-7.982955,0.05681812,0,0,None,00:00.0000,0,0,0,0,4.768517E-07
00:00.2270,0.2267123,-7.982955,0.05681813,-7.982955,0.05681813,0,0,None,00:00.0000,0,0,0,0,0
00:00.2450,0.2453885,-7.982955,0.05681813,-7.982955,0.05681813,0,0,None,00:00.0000,0,0,0,0,3.72529E-09
00:00.2590,0.2590104,-7.926137,0.1136363,-7.982955,0.05681813,0,0,None,00:00.0000,0,0,0,0,0.08035322
00:00.2770,0.2768271,-7.897728,0.1420456,-7.982956,0.05681813,0,0,None,00:00.0000,0,0,0,0,0.1205302
00:00.2920,0.2917738,-7.869318,0.1988637,-7.956048,0.0837252,0,0,None,00:00.0000,0,0,0,0,0.1441489
00:00.3090,0.3086148,-7.812501,0.3693181,-7.922536,0.1172375,0,0,None,00:00.0000,0,0,0,0,0.2750499
00:00.3250,0.3246611,-7.755682,0.4829544,-7.870225,0.2164758,0,0,None,00:00.0000,0,0,0,0,0.2900531
00:00.3500,0.350327,-7.698864,0.5397725,-7.835708,0.3049968,0,0,None,00:00.0000,0,0,0,0,0.2717459
00:00.3670,0.3667699,-7.585228,0.6818181,-7.798628,0.3940258,0,0,None,00:00.0000,0,0,0,0,0.3582791
00:00.3850,0.3852888,-7.5,0.7386363,-7.757829,0.4715692,0,0,None,00:00.0000,0,0,0,0,0.3712149
00:00.4000,0.4002266,-7.443182,0.7954544,-7.714056,0.5194886,0,0,None,00:00.0000,0,0,0,0,0.3866909
00:00.4160,0.4161893,-7.301137,0.8522725,-7.559926,0.6773611,0,0,None,00:00.0000,0,0,0,0,0.3123552
00:00.4340,0.4339809,-7.244318,0.8806819,-7.458643,0.7660487,0,0,None,00:00.0000,0,0,0,0,0.243055
00:00.4490,0.4487574,-7.1875,0.9375,-7.316887,0.8436501,0,0,triggerEnter,00:00.0000,0,-7.066887,0.8436501,0,0.1598398
00:00.4490,0.4487574,-7.1875,0.9375,-7.364841,0.8246324,0,0,None,00:00.0000,0,0,0,0,0.2102116
00:00.4670,0.4670461,-7.159091,0.9659094,-7.256371,0.8750769,0,0,None,00:00.0000,0,0,0,0,0.1330933
00:00.4990,0.4991156,-7.130682,0.9943181,-7.256371,0.8750769,0,0,None,00:00.0000,0,0,0,0,0.1732512
00:00.5150,0.5147688,-7.102273,0.9943181,-7.195055,0.932329,0,0,None,00:00.0000,0,0,0,0,0.1115851
00:00.5320,0.5320979,-7.102273,1.022727,-7.150184,0.9752228,0,0,None,00:00.0000,0,0,0,0,0.06746946
00:00.5500,0.5498489,-7.073864,1.022727,-7.130569,0.9890541,0,0,None,00:00.0000,0,0,0,0,0.0659492
00:00.5620,0.5624508,-7.017045,1.051136,-7.107431,0.9923562,0,0,None,00:00.0000,0,0,0,0,0.1078179
