00:00.0060,0.0058509,-8.019891,-0.0994575,-8,0,0,0,None,00:00.0000,0,0,0,0
00:00.0150,0.0154311,-8.019891,-0.1717901,-8.014917,-0.07459313,0,0,None,00:00.0000,0,0,0,0
00:00.0300,0.0298383,-8.056058,-0.244123,-8.017405,-0.09606689,0,0,None,00:00.0000,0,0,0,0
00:00.0440,0.0439943,-8.074142,-0.4249549,-8.046394,-0.2342337,0,0,None,00:00.0000,0,0,0,0
00:00.0580,0.0578284,-8.074142,-0.6962025,-8.060268,-0.3295943,0,0,None,00:00.0000,0,0,0,0
00:00.0710,0.0709428,-8.074142,-1.112116,-8.067205,-0.431524,0,0,None,00:00.0000,0,0,0,0
00:00.0840,0.0844723,-8.074142,-1.311031,-8.072407,-0.8877182,0,0,None,00:00.0000,0,0,0,0
00:00.1000,0.0997348,-8.074142,-1.835443,-8.073275,-1.099374,0,0,None,00:00.0000,0,0,0,0
00:00.1100,0.1098021,-8.074142,-2.070524,-8.073708,-1.340827,0,0,None,00:00.0000,0,0,0,0
00:00.1240,0.1238496,-8.074142,-2.468354,-8.074034,-1.928787,0,0,None,00:00.0000,0,0,0,0
00:00.1340,0.1337061,-8.074142,-2.631103,-8.074087,-2.198571,0,0,None,00:00.0000,0,0,0,0
00:00.1380,0.1382927,-8.074142,-2.920434,-8.074114,-2.333463,0,0,None,00:00.0000,0,0,0,0
00:00.1580,0.1584799,-8.074142,-3.137432,-8.074127,-2.563657,0,0,None,00:00.0000,0,0,0,0
00:00.1730,0.1726526,-8.092224,-3.227848,-8.074139,-2.966864,0,0,None,00:00.0000,0,0,0,0
00:00.1880,0.1877698,-8.092224,-3.40868,-8.083181,-3.097356,0,0,None,00:00.0000,0,0,0,0
00:00.1980,0.1977508,-8.092224,-3.481013,-8.087703,-3.20781,0,0,None,00:00.0000,0,0,0,0
00:00.2070,0.2071799,-8.074142,-3.589512,-8.089964,-3.308245,0,0,None,00:00.0000,0,0,0,0
00:00.2170,0.2168163,-8.019891,-3.643761,-8.091094,-3.421754,0,0,None,00:00.0000,0,0,0,0
00:00.2320,0.2321113,-7.911392,-3.698011,-8.051254,-3.574697,0,0,None,00:00.0000,0,0,0,0
00:00.2410,0.2412307,-7.839059,-3.716094,-8.017489,-3.627312,0,0,None,00:00.0000,0,0,0,0
00:00.2550,0.2554946,-7.658228,-3.716094,-7.928274,-3.671703,0,0,None,00:00.0000,0,0,0,0
00:00.2630,0.2634164,-7.603978,-3.716094,-7.8475,-3.693899,0,0,None,00:00.0000,0,0,0,0
00:00.2740,0.2741005,-7.350813,-3.698011,-7.752864,-3.704996,0,0,None,00:00.0000,0,0,0,0
00:00.2930,0.2932816,-7.043399,-3.607595,-7.482972,-3.704278,0,0,None,00:00.0000,0,0,0,0
00:00.3050,0.3053613,-6.880651,-3.553345,-7.34456,-3.683061,0,0,triggerEnter,00:00.0000,0,-7.09456,-3.683061,0
00:00.3050,0.3053613,-6.880651,-3.553345,-7.34456,-3.683061,0,0,None,00:00.0000,0,0,0,0
00:00.3180,0.3183269,-6.645569,-3.426763,-7.193979,-3.645328,0,0,None,00:00.0000,0,0,0,0
00:00.3250,0.3246788,-6.573237,-3.35443,-6.974024,-3.572212,0,0,None,00:00.0000,0,0,0,0
